id,countCargo,countPassenger,countTanker
860335a97ffffff,100,31,35
861f3125fffffff,707,7214,0
861f00a2fffffff,314,9,1089
861f040f7ffffff,7732,3493,1555
861f0429fffffff,7670,0,0
861f314afffffff,4403,0,0
861f25447ffffff,18,32,142
861f250b7ffffff,5699,3018,436
861f2aaefffffff,983,3297,629
860993447ffffff,1554,330,0
861f25c2fffffff,3015,4985,227
861f21cc7ffffff,645,3990,0
861f26d37ffffff,190,133,0
861f3080fffffff,256,0,0
861f2e597ffffff,18560,309,65
861f3476fffffff,110,0,0
861f05c47ffffff,383,238,0
861f246c7ffffff,6561,242,0
861f31aefffffff,17394,1225,0
861f248cfffffff,3200,37,446
861f23987ffffff,40,0,0
861f31a1fffffff,25917,0,0
860993397ffffff,1100,1596,0
861f3562fffffff,13339,19681,21348
861f2011fffffff,2388,365,0
861f0470fffffff,1529,0,0
861f0c15fffffff,544,111,0
861f24b5fffffff,6265,3324,202
861f00b77ffffff,1040,567,0
861f00c87ffffff,5238,0,0
861f214c7ffffff,3226,418,0
861f23977ffffff,5076,1243,4549
861f0008fffffff,788,1256,0
861f04677ffffff,15812,8951,0
861f246afffffff,2015,651,0
86099e477ffffff,220,193,0
861f25a97ffffff,37673,1429,0
861f2a40fffffff,6963,1809,494
861f202dfffffff,455,512,1720
861f2a497ffffff,760,3383,985
861f2559fffffff,40254,0,0
861f348efffffff,267,0,0
861f24b4fffffff,4159,6441,0
861f224cfffffff,11388,4555,0
861f31c07ffffff,5871,0,0
861f250f7ffffff,9492,833,285
861f25c27ffffff,2991,2990,192
861f2420fffffff,9675,24755,7684
8609930cfffffff,1453,1561,0
861f00c5fffffff,6336,1220,46
861f25017ffffff,1730,2727,1100
861f04997ffffff,4797,3061,0
861f23cafffffff,9186,1542,6977
860992c8fffffff,128,27,0
861f05807ffffff,24442,17312,917
861f21ca7ffffff,4522,5299,1094
861f246f7ffffff,6256,974,0
861f25067ffffff,8718,14058,12417
861f06c5fffffff,220,1264,1049
861f23277ffffff,42386,11049,3662
861f00047ffffff,3522,7566,3049
861f25077ffffff,1987,4314,9737
861f220f7ffffff,17572,10681,0
861f22757ffffff,3418,640,0
861f26c37ffffff,7392,19894,0
861f2a0a7ffffff,5151,936,255
861f2b417ffffff,67,0,0
861f23267ffffff,39953,1823,115
86099a827ffffff,179,111,0
861f2a637ffffff,1584,1391,895
861f2aa9fffffff,2550,1028,338
861f25197ffffff,3175,5302,1349
861f23c0fffffff,2990,7172,807
861f052a7ffffff,2950,55,1025
861f24367ffffff,1642,0,0
861f00627ffffff,6976,10508,626
861f25157ffffff,89958,8158,0
861f00c17ffffff,17438,0,0
861f23a1fffffff,6211,1597,471
861f230f7ffffff,19076,0,0
861f04457ffffff,17409,0,0
861f00017ffffff,10015,3332,991
861f0296fffffff,439,186,0
861f3139fffffff,8423,0,0
861f0022fffffff,3314,0,0
861f01a47ffffff,128,0,0
861f23a8fffffff,3391,1345,0
861f050cfffffff,6051,1784,2113
861f25097ffffff,6394,4151,649
861f312afffffff,7572,0,0
861f2248fffffff,2161,0,0
861f06947ffffff,661,0,0
861f25da7ffffff,6526,2807,0
861f23b37ffffff,3224,477,483
861f00af7ffffff,2545,1049,263
861f2414fffffff,3390,1650,4344
860992cf7ffffff,189,0,0
861f2554fffffff,889,985,280
861f20c9fffffff,906,0,0
861f24dafffffff,1193,3319,0
861f257a7ffffff,4275,592,3884
861f0512fffffff,11872,2456,1582
861f22b87ffffff,10004,1891,1947
861f2050fffffff,13480,326,0
861f218b7ffffff,2003,9822,0
861f00ac7ffffff,562,146,0
861f04547ffffff,18420,10256,0
861f23247ffffff,3055,13702,179
861f04147ffffff,26350,13576,0
