id,count
860335a97ffffff,100
861f3125fffffff,707
861f00a2fffffff,314
861f040f7ffffff,7732
861f25447ffffff,18
861f250b7ffffff,5699
860993447ffffff,1554
861f26d37ffffff,190
861f3080fffffff,256
861f3476fffffff,110
861f246c7ffffff,6561
861f248cfffffff,3200
861f23987ffffff,40
860993397ffffff,1100
861f3562fffffff,13339
861f2011fffffff,2388
861f0470fffffff,1529
861f0c15fffffff,544
861f24b5fffffff,6265
861f214c7ffffff,3226
861f0008fffffff,788
861f2a40fffffff,6963
861f348efffffff,267
861f224cfffffff,11388
861f25c27ffffff,2991
8609930cfffffff,1453
861f00c5fffffff,6336
861f04997ffffff,4797
861f23cafffffff,9186
861f25a97ffffff,1429
860992c8fffffff,128
861f246f7ffffff,6256
861f25067ffffff,8718
861f25077ffffff,1987
861f220f7ffffff,17572
861f22757ffffff,3418
861f2a0a7ffffff,5151
861f2b417ffffff,67
86099a827ffffff,179
861f2aa9fffffff,2550
861f052a7ffffff,2950
861f00627ffffff,6976
861f23a1fffffff,6211
861f00017ffffff,10015
861f3139fffffff,8423
861f01a47ffffff,128
861f23a8fffffff,3391
861f050cfffffff,6051
861f25097ffffff,6394
861f312afffffff,7572
861f2248fffffff,2161
861f06947ffffff,661
861f23b37ffffff,3224
861f00af7ffffff,2545
861f2414fffffff,3390
860992cf7ffffff,189
861f05807ffffff,17312
861f20c9fffffff,906
861f0512fffffff,11872
861f22b87ffffff,10004
861f218b7ffffff,2003
861f2554fffffff,985
861f00ac7ffffff,562
861f04547ffffff,18420
861f23247ffffff,3055
861f04147ffffff,26350
861f256a7ffffff,2576
860992cd7ffffff,315
861f2a4f7ffffff,1917
861f258b7ffffff,322
861f22257ffffff,10438
861f2a617ffffff,1803
861f2bd17ffffff,3549
861f23c0fffffff,7172
861f0478fffffff,13878
860993c9fffffff,1422
861f00607ffffff,1637
861965b97ffffff,8857
861f00c0fffffff,16247
861f20c8fffffff,1330
861f23b87ffffff,506
861f00047ffffff,7566
861f0cab7ffffff,88
8609932afffffff,558
861f2579fffffff,3738
861f20617ffffff,18816
861f0596fffffff,1323
861f312efffffff,989
861f25da7ffffff,2807
861f24a5fffffff,4953
861f26b07ffffff,1338
861f2380fffffff,833
861f2398fffffff,5348
861f25c5fffffff,3760
861f2501fffffff,3855
861f04677ffffff,8951
861f25057ffffff,7494
861f2310fffffff,2201
861f248a7ffffff,2868
861f2544fffffff,3996
861f25607ffffff,1844
861f23b17ffffff,4749
861f25d97ffffff,3370
861f21557ffffff,4397
861f2a977ffffff,524
861f05827ffffff,5971
861f04177ffffff,12207
861f047a7ffffff,11267
861f2420fffffff,24755
861f05217ffffff,3867
861f232c7ffffff,3386
