id,count
860335a97ffffff,31
861f0429fffffff,7670
861f314afffffff,4403
861f2e597ffffff,18560
861f05c47ffffff,383
861f31aefffffff,17394
861f31a1fffffff,25917
861f00b77ffffff,1040
861f00c87ffffff,5238
861f04677ffffff,15812
861f246afffffff,2015
861f25a97ffffff,37673
861f202dfffffff,455
861f2a497ffffff,760
861f2559fffffff,40254
861f31c07ffffff,5871
861f25017ffffff,1730
861f05807ffffff,24442
861f23cafffffff,1542
861f23277ffffff,42386
861f00047ffffff,3522
861f26c37ffffff,7392
861f23267ffffff,39953
861f2a637ffffff,1584
861f25157ffffff,89958
861f00c17ffffff,17438
861f230f7ffffff,19076
861f04457ffffff,17409
861f0296fffffff,439
861f0022fffffff,3314
861f2050fffffff,13480
861f33a2fffffff,2457
861f05827ffffff,13164
861f313afffffff,17369
861f358e7ffffff,8547
861f2020fffffff,1375
861f24adfffffff,14422
861f33b17ffffff,15386
861f23977ffffff,1243
861f20d6fffffff,31841
861f00467ffffff,946
861f0545fffffff,308
861f232cfffffff,2898
861f2341fffffff,6200
861f2a767ffffff,7873
861f3562fffffff,21348
861f0596fffffff,1047
861f220f7ffffff,10681
861f2205fffffff,13940
861f04417ffffff,24096
861f25047ffffff,718
861f04057ffffff,46735
861f054afffffff,875
861f2414fffffff,4344
861f00da7ffffff,22
861f218b7ffffff,9822
861f314a7ffffff,7541
861f04997ffffff,3061
861f25057ffffff,8283
861f00627ffffff,10508
861f2614fffffff,8111
861f224dfffffff,1179
861f21697ffffff,10875
861f05c4fffffff,327
861f00d77ffffff,21377
861f00d17ffffff,362
861f31757ffffff,536
861f045a7ffffff,35934
861f00b57ffffff,2939
861f044afffffff,3145
861f2221fffffff,7998
861f26167ffffff,21172
861f2a74fffffff,7367
861f0186fffffff,751
861f0572fffffff,2751
861f2325fffffff,795
861f3120fffffff,20652
861f23517ffffff,14434
861f22b87ffffff,1891
861f20617ffffff,2492
861f0184fffffff,426
861f04637ffffff,17876
861f33947ffffff,1670
861f01667ffffff,137
861f22767ffffff,7118
861f00c27ffffff,20677
861f058f7ffffff,824
861f04667ffffff,22553
861f0590fffffff,676
861f0185fffffff,279
861f05787ffffff,2131
861f2420fffffff,7684
861f04c9fffffff,31641
861f00d0fffffff,17355
861f257afffffff,257
861f31297ffffff,1083
861f26877ffffff,25779
861f25d4fffffff,309
861f04437ffffff,20114
861f257a7ffffff,592
861f25717ffffff,191
861f0010fffffff,14093
861f0444fffffff,19977
861f22237ffffff,15824
861f222dfffffff,1660
861f25177ffffff,15185
861f2a217ffffff,476
861f057a7ffffff,1472
861f00dafffffff,143
861f258dfffffff,9376
861f057b7ffffff,814
861f25b9fffffff,3628
861f0006fffffff,1465
861f25067ffffff,12417
861f0046fffffff,56
861f25c67ffffff,353
861f2390fffffff,1261
861f0176fffffff,173
861f0070fffffff,3292
861f0059fffffff,702
861f23c87ffffff,696
861f2518fffffff,960
861f3106fffffff,10900
861f04547ffffff,10256
861f2580fffffff,405
