id,count
860335a97ffffff,35
861f2aaefffffff,983
861f25c2fffffff,3015
861f21cc7ffffff,645
861f23977ffffff,5076
86099e477ffffff,220
861f24b4fffffff,4159
861f250f7ffffff,9492
861f2420fffffff,9675
861f21ca7ffffff,4522
861f06c5fffffff,220
861f224cfffffff,4555
861f3562fffffff,19681
861f25197ffffff,3175
861f23c0fffffff,2990
861f24367ffffff,1642
861f25da7ffffff,6526
861f2554fffffff,889
861f24dafffffff,1193
861f257a7ffffff,4275
861f25db7ffffff,2611
861f2414fffffff,1650
861f00d17ffffff,6348
861f24a67ffffff,3397
861f24a5fffffff,16407
861f21cd7ffffff,915
861f2399fffffff,4841
861f23247ffffff,13702
861f25dafffffff,4080
861f23157ffffff,577
860993387ffffff,600
861f25837ffffff,1386
861f21ce7ffffff,778
861f24ba7ffffff,273
861f3326fffffff,837
861f23c2fffffff,3407
86099e5a7ffffff,461
861f2845fffffff,13
86099e587ffffff,293
86099e487ffffff,837
861f05017ffffff,2477
861f2589fffffff,183
861f2556fffffff,2782
86099235fffffff,932
861f234b7ffffff,1435
861f2a39fffffff,53
861f23357ffffff,1719
861f25d87ffffff,12324
86099a617ffffff,867
86099acafffffff,55
861f0594fffffff,308
861f043b7ffffff,620
861f2a74fffffff,8445
861f2501fffffff,16478
861f05957ffffff,5919
861f21d9fffffff,2073
861f26d97ffffff,60
861f25067ffffff,14058
860993037ffffff,701
86099e71fffffff,160
861f21597ffffff,2889
861f23c87ffffff,4982
861f25c6fffffff,196
861f24277ffffff,2442
861f255b7ffffff,295
861f25077ffffff,4314
861f06167ffffff,3697
86196422fffffff,82
861f0490fffffff,4702
861f25c77ffffff,3025
861f24b77ffffff,2497
861f2aae7ffffff,997
861f23967ffffff,3890
861f01d17ffffff,35
861f05847ffffff,825
861f01d07ffffff,696
861f2500fffffff,22794
861f01667ffffff,5069
861f23d4fffffff,7006
861f05037ffffff,623
861f06cd7ffffff,1104
861f2159fffffff,817
861f00c0fffffff,5309
861f2426fffffff,403
861f23aafffffff,1476
861f2335fffffff,3804
861f24b1fffffff,2779
861f23c77ffffff,3125
861f2226fffffff,6661
861f25097ffffff,4151
861f00737ffffff,1258
86099a637ffffff,1392
861f21d8fffffff,3879
861f00a1fffffff,2020
861f287b7ffffff,59
861f215b7ffffff,3471
861f2502fffffff,5416
861f246f7ffffff,974
861f2425fffffff,586
860996537ffffff,38
861f23c57ffffff,113
861f24b17ffffff,2965
861f06537ffffff,495
861f0520fffffff,544
86099e4b7ffffff,548
861f238b7ffffff,5374
8609931afffffff,893
861f001b7ffffff,4359
861f25c0fffffff,5643
861f25137ffffff,239
861f25847ffffff,306
86099ac17ffffff,16
861f2a637ffffff,895
861f23c8fffffff,1446
861f25467ffffff,358
861f22247ffffff,5966
861f06c57ffffff,337
861f25047ffffff,8208
861f34807ffffff,108
861f214d7ffffff,778
861f214a7ffffff,217
86099aca7ffffff,97
861f24247ffffff,298
861f00d37ffffff,1083
86099e5b7ffffff,330
86099a4c7ffffff,69
861f21c0fffffff,954
861f24a27ffffff,1723
86099e447ffffff,172
861f00187ffffff,3725
861f2a397ffffff,153
861f06a4fffffff,3023
861f24b0fffffff,3387
860996517ffffff,83
861f23a8fffffff,1345
861f214b7ffffff,910
861f2315fffffff,475
861f2586fffffff,271
86099e70fffffff,151
861f23cafffffff,6977
861f24b47ffffff,3836
86099325fffffff,492
861f04827ffffff,4699
861f23c5fffffff,217
861f26db7ffffff,114
861f250b7ffffff,3018
861f00ce7ffffff,1329
861f21cb7ffffff,1459
861f24d1fffffff,1614
861f0616fffffff,1234
861f25c4fffffff,1113
860992267ffffff,914
861f01d1fffffff,37
861f2546fffffff,3870
861f24b2fffffff,1186
861f23d5fffffff,5887
861f05867ffffff,616
861f202cfffffff,2772
8609933b7ffffff,637
861f01d0fffffff,314
861f2424fffffff,249
861f286c7ffffff,412
861f23d6fffffff,615
861f24a6fffffff,2937
861f21c87ffffff,4929
86196435fffffff,198
861f21587ffffff,2332
861f00a67ffffff,845
86099e627ffffff,171
861f28787ffffff,64
861f214dfffffff,592
861f00a17ffffff,625
8609932b7ffffff,1952
86099ad8fffffff,179
861f21dafffffff,3549
861f23277ffffff,3662
860993117ffffff,961
861f23b2fffffff,1062
861f23c9fffffff,5172
861f00c5fffffff,1220
86099a4efffffff,23
861f34817ffffff,35
861f25c57ffffff,3491
861f24b57ffffff,3187
861f348afffffff,193
861964277ffffff,33
861f06527ffffff,958
861f0019fffffff,2124
86099e44fffffff,154
861f25017ffffff,2727
861f06b9fffffff,2851
861f24b07ffffff,4011
861f00627ffffff,626
8609921afffffff,2
86196426fffffff,154
861f21497ffffff,899
86099e757ffffff,333
861f22257ffffff,5950
